ab_id,pitcher_id,p_throws,pitch_type,pfx_x,vy0,px,pz,type_confidence
2015008252,453562,R,SI,-7.8,-139.14,-0.612,3.475,0.92
2015008253,453562,R,SL,2.83,-131.48,0.527,1.782,2.0
2015008253,453562,R,SI,-9.0,-137.386,0.254,2.945,0.897
2015008253,453562,R,FF,-0.4,-137.279,0.176,5.628,2.0
2015008253,453562,R,FF,-5.91,-137.241,0.453,3.423,2.0
2015008253,453562,R,CU,5.73,-116.741,-0.115,2.739,2.0
2015008257,453562,R,SI,-7.39,-135.147,-1.144,3.835,2.0
2015008257,453562,R,SI,-8.08,-134.306,0.169,3.055,2.0
2015008257,453562,R,CU,6.0,-116.135,0.262,0.528,2.0
2015008257,453562,R,SI,-9.06,-133.79,-1.524,3.481,2.0
2015008257,453562,R,SI,-10.18,-136.069,-0.882,2.317,0.874
2015008257,453562,R,SL,1.81,-132.057,-0.673,2.338,2.0
2015008258,453562,R,FF,-7.82,-135.907,0.242,0.585,2.0
2015008258,453562,R,SL,2.25,-130.618,-1.255,2.301,2.0
2015008258,453562,R,SI,-7.71,-135.876,0.91,2.523,2.0
2015008258,453562,R,SL,2.72,-130.572,-0.387,2.516,2.0
2015008258,453562,R,SL,3.57,-131.743,0.724,1.895,2.0
2015008259,453562,R,FF,-2.44,-134.805,-0.041,2.795,2.0
2015008259,453562,R,FF,-3.68,-135.594,-0.328,3.422,2.0
2015008259,453562,R,SI,-7.48,-135.838,1.1,3.019,2.0
2015008259,453562,R,SL,3.36,-131.694,-0.387,2.32,2.0
2015008259,453562,R,FF,-6.18,-135.044,0.181,2.862,2.0
2015008259,453562,R,CU,5.85,-113.143,-0.651,3.231,2.0
2015008263,453562,R,FF,-5.36,-134.454,-1.64,3.084,2.0
2015008263,453562,R,SI,-8.42,-134.703,-1.02,2.395,0.901
2015008264,453562,R,FF,-7.64,-134.578,0.639,2.345,2.0
2015008264,453562,R,FF,-7.17,-135.709,0.906,2.621,2.0
2015008264,453562,R,SL,1.05,-130.693,0.804,2.729,2.0
2015008264,453562,R,FF,-7.53,-136.507,-0.959,2.458,2.0
2015008264,453562,R,SI,-10.04,-135.734,-0.041,3.413,2.0
2015008264,453562,R,SL,3.97,-132.429,0.2,1.193,2.0
2015008264,453562,R,FF,-7.91,-137.42,-0.217,1.809,2.0
2015008265,453562,R,SL,1.33,-132.717,-0.306,1.994,2.0
2015008265,453562,R,CU,6.8,-115.84,0.364,0.969,2.0
2015008266,453562,R,CU,6.36,-114.722,-0.507,1.415,2.0
2015008266,453562,R,SI,-7.92,-135.173,0.225,2.951,2.0
2015008267,453562,R,FF,-6.42,-135.357,-0.339,2.033,2.0
2015008267,453562,R,FF,-6.68,-135.756,-1.719,2.439,2.0
2015008268,453562,R,FF,-7.58,-135.116,-0.986,1.555,2.0
2015008269,453562,R,FF,-7.52,-134.578,-0.857,1.925,2.0
2015008269,453562,R,SL,1.96,-130.754,-1.484,1.763,2.0
2015008269,453562,R,CH,-10.38,-125.144,-0.285,0.795,2.0
2015008269,453562,R,SL,3.2,-131.075,-1.146,2.419,2.0
2015008269,453562,R,FF,-5.57,-134.768,-0.887,1.152,2.0
2015008270,453562,R,CU,4.98,-114.911,-0.326,1.298,2.0
2015008270,453562,R,SL,2.51,-130.573,-0.182,2.78,2.0
2015008270,453562,R,FF,-3.06,-135.057,0.387,3.102,2.0
2015008270,453562,R,SL,2.29,-130.914,0.903,1.938,2.0
2015008275,453562,R,SI,-9.04,-132.771,-1.755,2.988,2.0
2015008275,453562,R,FF,-3.82,-132.575,-0.159,1.943,2.0
2015008275,453562,R,FF,-4.42,-134.743,-0.144,2.219,2.0
2015008276,453562,R,SL,1.52,-131.326,1.167,-0.036,2.0
2015008276,453562,R,SL,3.0,-129.743,0.487,1.692,2.0
2015008276,453562,R,FF,-8.07,-134.888,0.978,1.796,2.0
2015008276,453562,R,SI,-7.08,-135.518,0.109,2.521,2.0
2015008277,453562,R,FF,-6.3,-135.274,-1.925,4.329,2.0
2015008277,453562,R,SL,2.1,-131.347,-0.355,3.397,2.0
2015008277,453562,R,SL,2.92,-130.421,0.3,2.657,2.0
2015008277,453562,R,CU,6.31,-116.139,-1.114,0.661,2.0
2015008277,453562,R,CH,-11.56,-129.254,-0.225,-0.535,2.0
2015008277,453562,R,SL,1.96,-129.63,-0.365,2.97,2.0
2015008278,453562,R,FF,-6.52,-134.636,0.194,2.41,2.0
2015008278,453562,R,SL,1.62,-131.752,0.557,1.142,2.0
2015008278,453562,R,SL,3.87,-125.984,1.693,1.552,2.0
2015008278,453562,R,CU,6.15,-115.4,-0.139,2.508,2.0
2015008278,453562,R,CU,8.11,-115.421,0.232,1.749,2.0
2015008278,453562,R,FF,-7.88,-134.48,0.505,2.61,2.0
2015008278,453562,R,SL,4.51,-126.12,0.338,1.747,2.0
2015008283,453562,R,FF,-6.01,-132.781,-0.794,3.185,2.0
2015008283,453562,R,SL,3.22,-125.382,0.43,2.835,2.0
2015008284,453562,R,CU,5.79,-114.211,-0.842,2.194,2.0
2015008285,453562,R,SL,3.81,-127.926,-0.317,2.998,2.0
2015008285,453562,R,SL,1.67,-130.379,0.518,2.328,2.0
2015008285,453562,R,SI,-8.12,-134.076,0.128,3.71,2.0
